Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Zeben,0.2,56.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.19,56.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.14,57.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.67,57.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.32,57.41,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,57.39,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,57.4,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,57.47,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,57.47,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.68,57.44,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.65,57.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,57.53,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.76,57.51,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.45,63.04,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.66,62.55,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,62.57,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.24,62.56,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,60.42,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.37,60.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,61.18,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.68,61.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,61.36,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.72,61.32,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.86,61.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.72,62.01,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.27,61.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.65,62.04,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.67,62.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,61.93,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.87,61.93,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.46,61.93,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.29,61.96,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.87,61.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,62.01,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.54,62.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.28,61.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.52,61.88,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.44,61.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.77,61.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,61.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.1,61.87,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.28,61.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.34,62.06,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.77,62.13,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,62.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.75,62.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,62.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.06,62.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.81,62.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.53,62.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.72,62.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.53,62.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.32,62.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.23,62.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,7.26,62.2,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.68,62.34,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.43,62.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.53,62.13,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.47,62.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.25,62.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.27,62.19,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.7,62.24,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.32,62.25,947.0,213.0,77.51,USBX,
Windows 11,Zeben,7.47,62.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.77,62.38,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.22,62.4,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.14,62.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,6.86,62.32,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.03,62.29,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.25,62.3,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.88,62.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.44,62.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,62.5,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.55,62.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.86,62.45,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.97,62.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.59,62.45,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.9,62.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.34,62.64,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.86,62.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,62.57,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.35,62.57,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.06,62.56,947.0,213.0,77.51,USBX,
Windows 11,Zeben,6.55,62.54,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.02,62.51,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.45,62.51,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.73,62.51,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.67,62.58,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.25,62.51,947.0,213.0,77.51,USBX,
