Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,1.41,60.79,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,60.66,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,60.09,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.37,60.17,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,60.16,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.48,60.16,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.85,60.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,60.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.71,60.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.48,60.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.61,60.2,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.23,60.13,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.86,60.22,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.66,60.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.91,60.18,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.43,60.49,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.93,60.4,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.08,60.43,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.71,60.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.07,60.41,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.23,60.38,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.54,60.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.33,60.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.13,60.22,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.98,60.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.15,60.13,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.04,60.13,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.69,60.16,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.62,60.11,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.7,60.11,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.37,60.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.46,60.58,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,60.51,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.15,60.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.79,60.54,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.31,60.44,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.75,60.42,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.98,60.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.25,60.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.85,60.45,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.9,60.47,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.75,60.59,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.45,60.45,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.32,60.66,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.72,60.6,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.0,60.58,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.09,60.52,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.5,58.93,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.98,58.87,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.5,58.98,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.17,59.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.06,59.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.67,59.21,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.47,59.48,947.0,212.0,77.61,USBX,
